id	res	restype	lang	sex	prov	livingenv	partisanship	caruse	partyvote	agedec	resclean
132	Fossil Fuels are extremely hazardous.	support	EN	Male	BC	ruralremote	right	none	progressive	40-49	fossil fuel extrem hazard
133	On devrait donner des incitatives pour réduire notre consommation.	oppose	FR	Male	QC	suburban	none	none	progressive	60+	give incent reduc consumpt
134	While I doubt the present policies will have a significant difference the symbolism is important.	support	EN	Female	SK	suburban	right	none	conservative	60+	doubt present polici signific differ symbol import
135	Fuel is already a limitant resource, it's price is going to keep getting higher with time. Adding more taxes on top wouldn't be a matter of cfighting the climate change, it would be only about collec	oppose	EN	Male	BC	urban	none	none	no vote	30-39	fuel alreadi limit resourc price go keep get higher time ad tax top matter fight climat chang would collect
136	"Les gens semblent réagir plus fortement lorsqu'ils sont ""touchés"" dans leur portefeuilles."	support	FR	Female	QC	suburban	left	none	progressive	60+	peopl seem react strongli touch wallet
137	Canada's impact on the world emissions is minimum. We are an exporter of the product and if the world really wants to change for the good the worst abusers (china/USA) should be required to change. Ou	oppose	EN	Male	SK	smalltown	right	none	conservative	60+	canada impact world emiss minimum export product world realli want chang good worst abus china requir chang
138	Because these fossil fuels are hurting our planet	support	EN	Female	BC	urban	left	none	no vote	19-29	fossil fuel hurt planet
139	the tax will provide incentives to not extract recklessly	support	EN	Female	BC	urban	left	none	progressive	19-29	tax provid incent extract recklessli
140	 Because Canada contributes virtually nothing to the global carbon footprint, and because climate change is a natural phenomenon seen for the history of the plant with virtually no impact by human act	oppose	EN	Male	SK	ruralremote	right	none	conservative	60+	canada contribut virtual noth global carbon footprint climat chang natur phenomenon seen histori plant virtual impact human act
141	It is the wrong approach.  Simply a tax grab.	oppose	EN	Male	SK	ruralremote	right	none	conservative	60+	wrong approach simpli tax grab
142	Connais pas grand chose à sa	notsure	FR	Male	QC	smalltown	none	driver	no vote	50-59	know much
144	Putting a tax on fossil fuels does not reduce the consumption, it just increases the price Canadians have to pay.  If the tax was being used to lessen the impact or research ways to reduce the carbon	oppose	EN	Male	AB	ruralremote	right	driver	conservative	40-49	put tax fossil fuel reduc consumpt increas price canadian pay tax use lessen impact research way reduc carbon
145	Because i think this is a money grab for the government they r not going to stop flying their private jets to reduce emissions	oppose	EN	Female	SK	ruralremote	none	none	conservative	60+	think money grab govern go stop fli privat jet reduc emiss
146	The cost of living is high enough.	oppose	EN	Female	SK	suburban	notsure	none	no vote	60+	cost live high enough
147	This is adding a tax with no benefit or reason  for it. Money is not directed to help in any way. Other than to employ people to administer all the unnecessary paper work.	oppose	EN	Male	SK	suburban	left	driver	progressive	60+	ad tax benefit reason money direct help way employ peopl administ unnecessari paper work
148	Because I have no idea the cost difference. It may be okay, or it may make things much more expensive.	notsure	EN	Male	SK	urban	notsure	driver	progressive	30-39	idea cost differ may okay may mak thing much anoth
149	To help the people doesn’t have money	support	EN	Male	SK	ruralremote	right	driver	progressive	<19	help peopl money
150	Politically motivated tax grab that would garner support from those that don't drive	oppose	EN	Male	BC	urban	none	driver	progressive	50-59	polit motiv tax grab would garner support drive
151	Les gouvernement vont mettre l'argent de cette taxe dans leur poche sans reellement aider pour un changement. Donc, les consommateurs en auront encore moins et le gouvernement depensera encore plus po	oppose	FR	Male	QC	suburban	right	driver	no vote	30-39	govern put money tax pocket without realli help chang consum even less govern deni even
153	minimize pollution	support	EN	Male	BC	urban	right	driver	conservative	30-39	minim pollut
154	Canada emits 3% of the worlds carbon. Estevan is using a carbon capture system that has proved it works.  More money should be invested in carbon capture and implemented in all coal fired power plants	oppose	EN	Male	SK	smalltown	right	driver	conservative	50-59	canada emit world carbon use carbon captur system prove work money invest carbon captur implement coal fire power plant
155	People are being taxed beyond what is reasonable.	oppose	EN	Female	SK	urban	none	none	no vote	60+	peopl tax beyond reason
156	Comme il semble que les combustible fossile sont responsable du réchauffement je crois l?idee Bonne	support	FR	Male	QC	suburban	notsure	driver	progressive	50-59	seem fossil fuel respons warm believ idea good
157	To be engaged in climate change	support	EN	Male	AB	urban	none	none	conservative	19-29	engag climat chang
158	We must be responsible for our actions and make the world a better  Lace for future generations.	support	EN	Female	SK	urban	none	none	progressive	60+	must respons action mak world better lace futur gener
159	The tax comes with a rebate which does nothing to change behavior. There needs to be a plan to actually reduce emissions through incentives to industry and individuals with penalties if they do not co	oppose	EN	Male	SK	urban	right	driver	conservative	40-49	tax come rebat noth chang behaviour need plan actual reduc emiss incent industri individu penalti
160	It’s too expensive	oppose	EN	Female	AB	urban	none	driver	conservative	19-29	anoth
161	This will discourage more people from polluting the environment	support	EN	Male	AB	smalltown	right	none	conservative	40-49	discourag peopl pollut environ
162	I said I somewhat support. I think big corporations should definitely pay a tax for it if used for commercial reasons, but families shouldn’t have to pay a tax for heating their homes.	support	EN	Female	BC	suburban	notsure	driver	no vote	19-29	said somewhat support think big corpor definit pay tax use commerci reason famili pay tax heat home
163	Je crois qu'il faut prendre le problème à la base... Ce n'est pas la consommation d'essence qu'il faut pénaliser, mais bien le besoin d'en consommer...	notsure	FR	Male	QC	ruralremote	none	driver	progressive	40-49	think take problem base fuel consumpt penal need consum
164	Doesn't have any impact whatsoever on the environment - is only a tax grab and used to spread wealth to those with lower income	oppose	EN	Male	AB	urban	right	none	conservative	50-59	impact whatsoev environ tax grab use spread wealth lower incom
165	This will force people to search alternative sources which do not emmit carbon	support	EN	Male	AB	suburban	right	driver	progressive	30-39	forc peopl search altern sourc emit carbon
166	parce que ça pénalise les gens qui habitent en campagne et qui doivent faire le trajet quotidien pour se rendre à leur travail en ville	oppose	FR	Female	QC	suburban	left	none	no vote	50-59	penal peopl live countrysid mak daili trip go work town
167	More taxes to canadians	oppose	EN	Female	SK	urban	none	driver	no vote	30-39	tax canadian
169	Not 100% sure it will help or hurt us more	notsure	EN	Female	AB	urban	notsure	none	progressive	40-49	sure help hurt us
170	Where does the money go?	oppose	EN	Male	BC	suburban	right	none	no vote	60+	money go
171	Once people realize why they’re taxed for carbon emission they’d understand the ramifications	support	EN	Male	SK	suburban	none	none	conservative	19-29	peopl realiz tax carbon emiss understand ramif would
172	Of all the countries in the world, Canada makes the least impact regarding carbon emissions. Why tax people for something we contribute to less than 1%. Greed seems to control our federal gov. And the	oppose	EN	Female	SK	urban	left	driver	progressive	19-29	countri world canada make least impact regard carbon emiss tax peopl someth contribut less greed seem control feder govern
173	encore une taxe pour nous	oppose	FR	Male	QC	suburban	none	driver	conservative	40-49	anoth tax us
174	It is a cash grab for the government and won't make a difference	oppose	EN	Female	SK	suburban	right	none	conservative	40-49	cash grab govern mak differ
175	This TAX will ony apply to taxpaying citizens and the companies producing the carbon are being exempted.  Our country produces less carbon than many other countries, and they are not putting carbon ta	oppose	EN	Female	SK	urban	none	none	conservative	60+	tax oni appli taxpay citizen compani produc carbon exempt countri produc less carbon mani countri put carbon
176	It drives the price of gas up which means the price of food and nearly everything else goes up too.  It's already too expensive.	oppose	EN	Male	BC	smalltown	right	driver	conservative	30-39	drive price ga mean price food nearli everyth els goe alreadi anoth
177	dont know	notsure	EN	Male	SK	urban	notsure	none	no vote	40-49	know
178	LA taxe ne diminue pas la consommation mais augmente les revenu du gouvernement.  Il faut développer des alternative au petrole	oppose	FR	Male	QC	suburban	right	none	progressive	60+	tax decreas consumpt increas govern incom must develop altern petroleum
179	Discourages people from consuming those fuels, and makes natural sources of energy more attractive	support	EN	Male	BC	suburban	left	none	progressive	19-29	discourag peopl consum fuel make natur sourc energi attract
180	fuel is one of the main economic factors for a stable economy in canada but fossil fuel is bad for the environment	notsure	EN	Female	AB	suburban	right	none	no vote	19-29	fuel one main econom factor stabl economi canada fossil fuel bad environ
181	people will pay whatever it takes for fossil fuel products, so more taxes will not result in less use	notsure	EN	Male	BC	suburban	left	none	progressive	60+	peopl pay whatev take fossil fuel product tax result less use
182	Tax is counter productive to growth. There must be a better way.	oppose	EN	Male	SK	suburban	none	none	conservative	60+	tax counter product growth must better way
183	Kill earth...7.5 billion people and over a Trillion animals from single called to humpback whales...we kill ourselves. There is no miracle tech that will save us now. We're past the point of no return	support	EN	Male	SK	suburban	left	none	progressive	40-49	kill earth billion peopl trillion anim singl call humpback whale kill miracl technolog save us past point return
184	tax on fossil fuels will only add to government coffers and hurt the economy more the it has already	oppose	EN	Male	BC	smalltown	none	none	progressive	60+	tax fossil fuel add govern coffer hurt economi alreadi
185	Defecit spending by current government uses carbon taxing to reel in money. Pathetic.	oppose	EN	Female	SK	suburban	right	driver	conservative	40-49	deficit spend current govern use carbon tax reel money pathet
186	car il represente le 3/4 de l'Energie de la planete	support	FR	Male	QC	suburban	right	driver	conservative	19-29	repres planet energi
187	waste of money	oppose	EN	Male	SK	suburban	notsure	driver	conservative	50-59	wast money
188	I haven’t researched and read enough to know	notsure	EN	Female	SK	urban	none	driver	no vote	30-39	research read enough know
189	I feel that something should be done. There is no reason for excess pollution.	support	EN	Female	SK	suburban	notsure	driver	no vote	30-39	feel someth done reason excess pollut
190	unsure	notsure	EN	Female	BC	suburban	none	none	no vote	50-59	unsur
191	"its not as big of a deterrent as it is a ""money grab"". If the government of Canada really wants to reduce our carbon footprint they need to promote other forms of energy, (solar, Wind turbines) and th"	oppose	EN	Male	SK	suburban	notsure	driver	no vote	19-29	big deterr money grab govern canada realli want reduc carbon footprint need promot form energi solar wind turbin
192	C?est nous qui va encore payer, les compagnies vont nous refiler le tou	oppose	FR	Male	QC	urban	right	none	no vote	60+	still pay compani pass
193	because renewable bio fuel and solar can help the environment if they get govt subsidies and investments	oppose	EN	Male	ON	urban	right	none	progressive	30-39	renew bio fuel solar help environ get govern subsidi invest
194	It will help the environment and make people find other way# to get around	support	EN	Female	BC	suburban	none	none	progressive	60+	help environ mak peopl find way get around
195	Ça ne fonctionne jamais !! au début oui, et ensuite la motivation tombe...	notsure	FR	Female	QC	urban	none	none	progressive	50-59	never work first ye motiv fall
196	it depends on how its administered,  I haven't heard a solution that I have fully liked yet.	notsure	EN	Male	SK	urban	right	driver	progressive	30-39	depend administ heard solut fulli like yet
197	we have lived this long without it it's just another tax grab	oppose	EN	Female	SK	smalltown	none	none	progressive	60+	live long without anoth tax grab
198	Because if people or industry refused to used other alternative available they should pay extra for polluting the air	support	EN	Female	BC	suburban	right	none	progressive	40-49	peopl industri refus use altern avail pay extra pollut air
199	Climate change is happening and it has to be dealt with.	support	EN	Female	SK	suburban	none	none	no vote	40-49	climat chang happen dealt
200	Those most responsible for the destruction of our planet should be required to pay to remedy their damage.	support	EN	Female	AB	smalltown	left	none	no vote	19-29	respons destruct planet requir pay remedi damag
201	Because most of us who drive a vehicle do not have a choice	oppose	EN	Male	AB	urban	notsure	driver	no vote	50-59	us drive vehicl choic
202	Im not sure if it is for better	notsure	EN	Female	SK	suburban	none	none	progressive	30-39	sure better
203	to encourage people to limit their use of fuels.	support	EN	Female	SK	urban	none	none	progressive	30-39	encourag peopl limit use fuel
204	more taxes on working people	oppose	EN	Male	BC	suburban	right	driver	conservative	40-49	tax work peopl
205	People will not be able to purchase oil or diesel the way they want	oppose	EN	Female	SK	suburban	right	driver	conservative	30-39	peopl abl purchas oil diesel way want
206	Not sure	oppose	EN	Male	SK	urban	none	driver	conservative	19-29	sure
207	Another cost to deal with...with already being on a low income	oppose	EN	Female	SK	suburban	none	commuter	conservative	40-49	anoth cost deal alreadi low incom
208	Because it hurts the economically disadvantaged and is immaterial to the rich who pollute far more than the poor .....I believe the best way to effect climate change is to control world population ...	oppose	EN	Male	SK	smalltown	right	none	conservative	60+	hurt econom disadvantag immateri rich pollut far poor believ best way effect climat chang control world popul
209	its so expensive already to live here. We pay taxes through the roof, cell,cable , internet and car insurance, hydro are some of the highest in the world already. Public transit keeps going up every y	oppose	EN	Male	ON	urban	notsure	driver	conservative	30-39	anoth alreadi live pay tax roof cell internet car insur hydroelectr highest world alreadi public transit keep go everi cabl
210	I believe it will start people on the correct path to reduce emissions however I dont feel it can be done as quickly as environments are hoping for.	support	EN	Female	SK	urban	right	none	progressive	50-59	believ start peopl correct path reduc emiss howev feel done quickli environ hope
211	Imposer les choses aux individus n'est jamais la meilleure façon de faire modifier un comportement ou une habitude.	oppose	FR	Female	QC	urban	left	commuter	progressive	19-29	impos thing individu never best way behaviour habit modifi
212	Shouldn’t have to pay more for something we all have to use.	oppose	EN	Female	AB	urban	notsure	none	conservative	19-29	pay someth use
213	People need to pay attention to global warming and climate change and do their part to save the earth	oppose	EN	Female	SK	urban	none	none	progressive	50-59	peopl need pay attent global warm climat chang part save earth
214	This will give people incentive to actually use less energy	support	EN	Male	SK	suburban	right	none	conservative	60+	give peopl incent actual use less energi
215	We have no other options at this point where one could use wind, battery, unless you have financial resources to install solar panels, etc. Until government can offer affordable options, we should not	oppose	EN	Female	AB	smalltown	none	driver	conservative	60+	option point one could use wind batteri unless financi resourc instal solar panel etc govern offer afford option
216	Car ce n'est pas a nous de payer plus cher	notsure	FR	Female	QC	suburban	left	none	progressive	<19	us pay
218	For the long term benefit of our kids and grandchildren	support	EN	Male	SK	suburban	right	none	conservative	60+	long term benefit kid grandchildren
219	It makes no sense to me. People will simply use the carbon tax rebates to subside their necessary fuel/ heating purchases	oppose	EN	Male	SK	suburban	right	none	conservative	60+	make sens peopl simpli use carbon tax rebat subsid necessari fuel heat purchas
